epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,566.341,0.75472,0.3991,0.81278,0.99807,0.99834,0.995,0.81565,0.73325,0.34135,0.80008,0.00033032,0.00033032,0.00033032
43,579.996,0.76062,0.40248,0.81318,0.99867,0.99878,0.99498,0.82841,0.6889,0.32741,0.7948,0.000324815,0.000324815,0.000324815
44,594.205,0.7533,0.40017,0.81251,0.99691,0.99825,0.99499,0.82725,0.69037,0.32859,0.79499,0.000319311,0.000319311,0.000319311
45,608.491,0.75854,0.4044,0.81337,0.99851,0.99862,0.995,0.82753,0.69121,0.32881,0.79538,0.000313806,0.000313806,0.000313806
46,623.067,0.74735,0.40011,0.81175,0.99756,0.99825,0.99499,0.82417,0.69925,0.34098,0.79476,0.000308302,0.000308302,0.000308302
47,637.21,0.75334,0.39776,0.81198,0.99776,0.99734,0.995,0.82509,0.70046,0.32743,0.79669,0.000302798,0.000302798,0.000302798
48,650.906,0.74411,0.38963,0.80954,0.99757,0.9976,0.99499,0.82583,0.69497,0.32823,0.79587,0.000297293,0.000297293,0.000297293
49,664.949,0.73842,0.38737,0.81012,0.99708,0.99751,0.99484,0.82312,0.7025,0.32939,0.79702,0.000291789,0.000291789,0.000291789
50,678.87,0.74169,0.38609,0.81188,0.99498,0.99884,0.99499,0.82724,0.68827,0.32601,0.79541,0.000286284,0.000286284,0.000286284
51,693.218,0.73677,0.38433,0.81054,0.99861,0.99658,0.99498,0.8294,0.68939,0.32352,0.79519,0.00028078,0.00028078,0.00028078
52,707.639,0.74354,0.38625,0.811,0.99825,0.99864,0.99499,0.83404,0.67432,0.31705,0.79383,0.000275276,0.000275276,0.000275276
53,722.347,0.7468,0.3883,0.81054,0.99797,0.99797,0.995,0.82669,0.6943,0.32214,0.79584,0.000269771,0.000269771,0.000269771
54,736.99,0.73617,0.37887,0.80982,0.99879,0.99925,0.995,0.82935,0.67968,0.31653,0.79413,0.000264267,0.000264267,0.000264267
55,751.125,0.73777,0.38192,0.80949,0.99893,0.99834,0.99496,0.82702,0.69565,0.31902,0.79548,0.000258762,0.000258762,0.000258762
56,765.047,0.73624,0.37892,0.81085,0.99872,0.99869,0.995,0.83124,0.68223,0.31277,0.79409,0.000253258,0.000253258,0.000253258
57,779.537,0.73713,0.38045,0.80942,0.99782,0.99646,0.99487,0.82829,0.69219,0.32047,0.79543,0.000247754,0.000247754,0.000247754
58,793.958,0.73391,0.37778,0.80876,0.99883,0.99884,0.995,0.82705,0.69727,0.31963,0.79617,0.000242249,0.000242249,0.000242249
59,807.646,0.73631,0.37317,0.80944,0.99828,0.9981,0.99499,0.82966,0.68856,0.31678,0.79473,0.000236745,0.000236745,0.000236745
